i,j,k,cost,amplitude,lower_bound,upper_bound
A207.1948-04-30,HU207.1948-04-30,0,0.00000,1.00900,0.000,1000000000000
A207.1948-05-31,HU207.1948-05-31,0,0.00000,1.00900,0.000,1000000000000
A207.1948-06-30,HU207.1948-06-30,0,0.00000,1.00900,0.000,1000000000000
A207.1948-07-31,HU207.1948-07-31,0,0.00000,1.00900,0.000,1000000000000
A207.1948-08-31,HU207.1948-08-31,0,0.00000,1.00900,0.000,1000000000000
A207.1948-09-30,HU207.1948-09-30,0,0.00000,1.00900,0.000,1000000000000
C104.1947-10-31,C105.1947-10-31,0,0.00000,1.00000,0.000,1000000000000
C104.1947-11-30,C105.1947-11-30,0,0.00000,1.00000,0.000,1000000000000
C104.1947-12-31,C105.1947-12-31,0,0.00000,1.00000,0.000,1000000000000
C104.1948-01-31,C105.1948-01-31,0,0.00000,1.00000,0.000,1000000000000
C104.1948-02-29,C105.1948-02-29,0,0.00000,1.00000,0.000,1000000000000
C104.1948-03-31,C105.1948-03-31,0,0.00000,1.00000,0.000,1000000000000
C104.1948-04-30,C105.1948-04-30,0,0.00000,1.00000,0.000,1000000000000
C104.1948-05-31,C105.1948-05-31,0,0.00000,1.00000,0.000,1000000000000
C104.1948-06-30,C105.1948-06-30,0,0.00000,1.00000,0.000,1000000000000
C104.1948-07-31,C105.1948-07-31,0,0.00000,1.00000,0.000,1000000000000
C104.1948-08-31,C105.1948-08-31,0,0.00000,1.00000,0.000,1000000000000
C104.1948-09-30,C105.1948-09-30,0,0.00000,1.00000,0.000,1000000000000
C104.1947-10-31,D44.1947-10-31,0,0.00000,1.00000,0.000,1000000000000
C104.1947-11-30,D44.1947-11-30,0,0.00000,1.00000,0.000,1000000000000
C104.1947-12-31,D44.1947-12-31,0,0.00000,1.00000,0.000,1000000000000
C104.1948-01-31,D44.1948-01-31,0,0.00000,1.00000,0.000,1000000000000
C104.1948-02-29,D44.1948-02-29,0,0.00000,1.00000,0.000,1000000000000
C104.1948-03-31,D44.1948-03-31,0,0.00000,1.00000,0.000,1000000000000
C104.1948-04-30,D44.1948-04-30,0,0.00000,1.00000,0.000,1000000000000
C104.1948-05-31,D44.1948-05-31,0,0.00000,1.00000,0.000,1000000000000
C104.1948-06-30,D44.1948-06-30,0,0.00000,1.00000,0.000,1000000000000
C104.1948-07-31,D44.1948-07-31,0,0.00000,1.00000,0.000,1000000000000
C104.1948-08-31,D44.1948-08-31,0,0.00000,1.00000,0.000,1000000000000
C104.1948-09-30,D44.1948-09-30,0,0.00000,1.00000,0.000,1000000000000
OUTBOUND.1947-10-31,SINK,0,0,1,0,1000000000000
C105.1947-10-31,OUTBOUND.1947-10-31,0,0,1,0.000,0.000
OUTBOUND.1947-11-30,SINK,0,0,1,0,1000000000000
C105.1947-11-30,OUTBOUND.1947-11-30,0,0,1,0.000,0.000
OUTBOUND.1947-12-31,SINK,0,0,1,0,1000000000000
C105.1947-12-31,OUTBOUND.1947-12-31,0,0,1,0.000,0.000
OUTBOUND.1948-01-31,SINK,0,0,1,0,1000000000000
C105.1948-01-31,OUTBOUND.1948-01-31,0,0,1,0.000,0.000
OUTBOUND.1948-02-29,SINK,0,0,1,0,1000000000000
C105.1948-02-29,OUTBOUND.1948-02-29,0,0,1,0.000,0.000
OUTBOUND.1948-03-31,SINK,0,0,1,0,1000000000000
C105.1948-03-31,OUTBOUND.1948-03-31,0,0,1,0.000,0.000
OUTBOUND.1948-04-30,SINK,0,0,1,0,1000000000000
C105.1948-04-30,OUTBOUND.1948-04-30,0,0,1,0.000,0.000
OUTBOUND.1948-05-31,SINK,0,0,1,0,1000000000000
C105.1948-05-31,OUTBOUND.1948-05-31,0,0,1,0.000,0.000
OUTBOUND.1948-06-30,SINK,0,0,1,0,1000000000000
C105.1948-06-30,OUTBOUND.1948-06-30,0,0,1,0.000,0.000
OUTBOUND.1948-07-31,SINK,0,0,1,0,1000000000000
C105.1948-07-31,OUTBOUND.1948-07-31,0,0,1,0.000,0.000
OUTBOUND.1948-08-31,SINK,0,0,1,0,1000000000000
C105.1948-08-31,OUTBOUND.1948-08-31,0,0,1,0.000,0.000
OUTBOUND.1948-09-30,SINK,0,0,1,0,1000000000000
C105.1948-09-30,OUTBOUND.1948-09-30,0,0,1,0.000,0.000
C105.1947-10-31,WTP204.1947-10-31,0,45.00000,1.00000,0.000,2.500
C105.1947-11-30,WTP204.1947-11-30,0,45.00000,1.00000,0.000,2.400
C105.1947-12-31,WTP204.1947-12-31,0,45.00000,1.00000,0.000,2.500
C105.1948-01-31,WTP204.1948-01-31,0,45.00000,1.00000,0.000,2.500
C105.1948-02-29,WTP204.1948-02-29,0,45.00000,1.00000,0.000,2.200
C105.1948-03-31,WTP204.1948-03-31,0,45.00000,1.00000,0.000,2.500
C105.1948-04-30,WTP204.1948-04-30,0,45.00000,1.00000,0.000,2.400
C105.1948-05-31,WTP204.1948-05-31,0,45.00000,1.00000,0.000,2.500
C105.1948-06-30,WTP204.1948-06-30,0,45.00000,1.00000,0.000,2.400
C105.1948-07-31,WTP204.1948-07-31,0,45.00000,1.00000,0.000,2.500
C105.1948-08-31,WTP204.1948-08-31,0,45.00000,1.00000,0.000,2.500
C105.1948-09-30,WTP204.1948-09-30,0,45.00000,1.00000,0.000,2.400
INBOUND.1947-10-31,C16.1947-10-31,0,0,1,0.000,0.000
C16.1947-10-31,OUTBOUND.1947-10-31,0,0,1,0.000,0.000
INBOUND.1947-11-30,C16.1947-11-30,0,0,1,0.000,0.000
C16.1947-11-30,OUTBOUND.1947-11-30,0,0,1,0.000,0.000
INBOUND.1947-12-31,C16.1947-12-31,0,0,1,0.000,0.000
C16.1947-12-31,OUTBOUND.1947-12-31,0,0,1,0.000,0.000
INBOUND.1948-01-31,C16.1948-01-31,0,0,1,0.000,0.000
C16.1948-01-31,OUTBOUND.1948-01-31,0,0,1,0.000,0.000
INBOUND.1948-02-29,C16.1948-02-29,0,0,1,0.000,0.000
C16.1948-02-29,OUTBOUND.1948-02-29,0,0,1,0.000,0.000
INBOUND.1948-03-31,C16.1948-03-31,0,0,1,0.000,0.000
C16.1948-03-31,OUTBOUND.1948-03-31,0,0,1,0.000,0.000
INBOUND.1948-04-30,C16.1948-04-30,0,0,1,0.000,0.000
C16.1948-04-30,OUTBOUND.1948-04-30,0,0,1,0.000,0.000
INBOUND.1948-05-31,C16.1948-05-31,0,0,1,25.695,25.695
C16.1948-05-31,OUTBOUND.1948-05-31,0,0,1,25.695,25.695
INBOUND.1948-06-30,C16.1948-06-30,0,0,1,38.500,38.500
C16.1948-06-30,OUTBOUND.1948-06-30,0,0,1,38.500,38.500
INBOUND.1948-07-31,C16.1948-07-31,0,0,1,38.500,38.500
C16.1948-07-31,OUTBOUND.1948-07-31,0,0,1,38.500,38.500
INBOUND.1948-08-31,C16.1948-08-31,0,0,1,2.021,2.021
C16.1948-08-31,OUTBOUND.1948-08-31,0,0,1,2.021,2.021
INBOUND.1948-09-30,C16.1948-09-30,0,0,1,0.000,0.000
C16.1948-09-30,OUTBOUND.1948-09-30,0,0,1,0.000,0.000
C16.1947-10-31,C20.1947-10-31,0,0.00000,1.00000,0.000,1000000000000
C16.1947-11-30,C20.1947-11-30,0,0.00000,1.00000,0.000,1000000000000
C16.1947-12-31,C20.1947-12-31,0,0.00000,1.00000,0.000,1000000000000
C16.1948-01-31,C20.1948-01-31,0,0.00000,1.00000,0.000,1000000000000
C16.1948-02-29,C20.1948-02-29,0,0.00000,1.00000,0.000,1000000000000
C16.1948-03-31,C20.1948-03-31,0,0.00000,1.00000,0.000,1000000000000
C16.1948-04-30,C20.1948-04-30,0,0.00000,1.00000,0.000,1000000000000
C16.1948-05-31,C20.1948-05-31,0,0.00000,1.00000,0.000,1000000000000
C16.1948-06-30,C20.1948-06-30,0,0.00000,1.00000,0.000,1000000000000
C16.1948-07-31,C20.1948-07-31,0,0.00000,1.00000,0.000,1000000000000
C16.1948-08-31,C20.1948-08-31,0,0.00000,1.00000,0.000,1000000000000
C16.1948-09-30,C20.1948-09-30,0,0.00000,1.00000,0.000,1000000000000
C173.1947-10-31,OUTBOUND.1947-10-31,0,0,1,0.000,0.000
C173.1947-11-30,OUTBOUND.1947-11-30,0,0,1,0.000,0.000
C173.1947-12-31,OUTBOUND.1947-12-31,0,0,1,0.000,0.000
C173.1948-01-31,OUTBOUND.1948-01-31,0,0,1,0.000,0.000
C173.1948-02-29,OUTBOUND.1948-02-29,0,0,1,0.000,0.000
C173.1948-03-31,OUTBOUND.1948-03-31,0,0,1,0.000,0.000
C173.1948-04-30,OUTBOUND.1948-04-30,0,0,1,0.000,0.000
C173.1948-05-31,OUTBOUND.1948-05-31,0,0,1,0.000,0.000
C173.1948-06-30,OUTBOUND.1948-06-30,0,0,1,0.000,0.000
C173.1948-07-31,OUTBOUND.1948-07-31,0,0,1,0.000,0.000
C173.1948-08-31,OUTBOUND.1948-08-31,0,0,1,0.000,0.000
C173.1948-09-30,OUTBOUND.1948-09-30,0,0,1,0.000,0.000
C173.1947-10-31,HSU207C173.1947-10-31,0,0.00000,1.00000,0.000,6.700
C173.1947-11-30,HSU207C173.1947-11-30,0,0.00000,1.00000,0.000,6.700
C173.1947-12-31,HSU207C173.1947-12-31,0,0.00000,1.00000,0.000,6.700
C173.1948-01-31,HSU207C173.1948-01-31,0,0.00000,1.00000,0.000,6.700
C173.1948-02-29,HSU207C173.1948-02-29,0,0.00000,1.00000,0.000,6.700
C173.1948-03-31,HSU207C173.1948-03-31,0,0.00000,1.00000,0.000,6.700
C173.1948-04-30,HSU207C173.1948-04-30,0,0.00000,1.00000,0.000,6.700
C173.1948-05-31,HSU207C173.1948-05-31,0,0.00000,1.00000,0.000,6.700
C173.1948-06-30,HSU207C173.1948-06-30,0,0.00000,1.00000,0.000,6.700
C173.1948-07-31,HSU207C173.1948-07-31,0,0.00000,1.00000,0.000,6.700
C173.1948-08-31,HSU207C173.1948-08-31,0,0.00000,1.00000,0.000,6.700
C173.1948-09-30,HSU207C173.1948-09-30,0,0.00000,1.00000,0.000,6.700
C173.1947-10-31,WTP207.1947-10-31,0,45.00000,1.00000,0.000,0.000
C173.1947-11-30,WTP207.1947-11-30,0,45.00000,1.00000,0.000,0.000
C173.1947-12-31,WTP207.1947-12-31,0,45.00000,1.00000,0.000,0.000
C173.1948-01-31,WTP207.1948-01-31,0,45.00000,1.00000,0.000,0.000
C173.1948-02-29,WTP207.1948-02-29,0,45.00000,1.00000,0.000,0.000
C173.1948-03-31,WTP207.1948-03-31,0,45.00000,1.00000,0.000,0.000
C173.1948-04-30,WTP207.1948-04-30,0,45.00000,1.00000,0.000,0.000
C173.1948-05-31,WTP207.1948-05-31,0,45.00000,1.00000,0.000,0.000
C173.1948-06-30,WTP207.1948-06-30,0,45.00000,1.00000,0.000,0.000
C173.1948-07-31,WTP207.1948-07-31,0,45.00000,1.00000,0.000,0.000
C173.1948-08-31,WTP207.1948-08-31,0,45.00000,1.00000,0.000,0.000
C173.1948-09-30,WTP207.1948-09-30,0,45.00000,1.00000,0.000,0.000
INBOUND.1947-10-31,C18.1947-10-31,0,0,1,0.000,0.000
INBOUND.1947-10-31,C18.1947-10-31,1,0,1,0.000,0.000
INBOUND.1947-11-30,C18.1947-11-30,0,0,1,21.397,21.397
INBOUND.1947-11-30,C18.1947-11-30,1,0,1,0.003,0.003
INBOUND.1947-12-31,C18.1947-12-31,0,0,1,19.900,19.900
INBOUND.1947-12-31,C18.1947-12-31,1,0,1,0.000,0.000
INBOUND.1948-01-31,C18.1948-01-31,0,0,1,43.564,43.564
INBOUND.1948-01-31,C18.1948-01-31,1,0,1,0.003,0.003
INBOUND.1948-02-29,C18.1948-02-29,0,0,1,28.211,28.211
INBOUND.1948-02-29,C18.1948-02-29,1,0,1,0.084,0.084
INBOUND.1948-03-31,C18.1948-03-31,0,0,1,4.821,4.821
INBOUND.1948-03-31,C18.1948-03-31,1,0,1,0.423,0.423
INBOUND.1948-04-30,C18.1948-04-30,0,0,1,3.153,3.153
INBOUND.1948-04-30,C18.1948-04-30,1,0,1,0.887,0.887
INBOUND.1948-05-31,C18.1948-05-31,0,0,1,2.880,2.880
