link,i,j,k,cost,amplitude,lower_bound,upper_bound
INBOUND.1921-10-31_C67.1921-10-31_1,INBOUND.1921-10-31,C67.1921-10-31,1,0.0,1.0,412.732,412.732
INBOUND.1921-10-31_C67.1921-10-31_2,INBOUND.1921-10-31,C67.1921-10-31,2,1000000.0,1.0,412.732,1000000000000.0
INBOUND.1921-10-31_D507.1921-10-31_0,INBOUND.1921-10-31,D507.1921-10-31,0,-1000000.0,1.0,0.0,245.949
INBOUND.1921-10-31_D507.1921-10-31_1,INBOUND.1921-10-31,D507.1921-10-31,1,0.0,1.0,245.949,245.949
INBOUND.1921-10-31_D507.1921-10-31_2,INBOUND.1921-10-31,D507.1921-10-31,2,1000000.0,1.0,245.949,1000000000000.0
INBOUND.1921-10-31_D509.1921-10-31_0,INBOUND.1921-10-31,D509.1921-10-31,0,-1000000.0,1.0,0.0,2.488
INBOUND.1921-10-31_D509.1921-10-31_1,INBOUND.1921-10-31,D509.1921-10-31,1,0.0,1.0,2.488,2.488
INBOUND.1921-10-31_D509.1921-10-31_2,INBOUND.1921-10-31,D509.1921-10-31,2,1000000.0,1.0,2.488,1000000000000.0
INBOUND.1921-10-31_D517.1921-10-31_0,INBOUND.1921-10-31,D517.1921-10-31,0,-1000000.0,1.0,0.0,256.365
INBOUND.1921-10-31_D517.1921-10-31_1,INBOUND.1921-10-31,D517.1921-10-31,1,0.0,1.0,256.365,256.365
INBOUND.1921-10-31_D517.1921-10-31_2,INBOUND.1921-10-31,D517.1921-10-31,2,1000000.0,1.0,256.365,1000000000000.0
INBOUND.1921-10-31_HGR08.1921-10-31_0,INBOUND.1921-10-31,HGR08.1921-10-31,0,-1000000.0,1.0,0.0,0.004
INBOUND.1921-10-31_HGR08.1921-10-31_1,INBOUND.1921-10-31,HGR08.1921-10-31,1,0.0,1.0,0.004,0.004
INBOUND.1921-10-31_HGR08.1921-10-31_2,INBOUND.1921-10-31,HGR08.1921-10-31,2,1000000.0,1.0,0.004,1000000000000.0
INBOUND.1921-10-31_WTP205.1921-10-31_0,INBOUND.1921-10-31,WTP205.1921-10-31,0,-1000000.0,1.0,0.0,11.19
INBOUND.1921-10-31_WTP205.1921-10-31_1,INBOUND.1921-10-31,WTP205.1921-10-31,1,0.0,1.0,11.19,11.19
INBOUND.1921-10-31_WTP205.1921-10-31_2,INBOUND.1921-10-31,WTP205.1921-10-31,2,1000000.0,1.0,11.19,1000000000000.0
INBOUND.1921-10-31_WWP210.1921-10-31_0,INBOUND.1921-10-31,WWP210.1921-10-31,0,-1000000.0,1.0,0.0,3.772
INBOUND.1921-10-31_WWP210.1921-10-31_1,INBOUND.1921-10-31,WWP210.1921-10-31,1,0.0,1.0,3.772,3.772
INBOUND.1921-10-31_WWP210.1921-10-31_2,INBOUND.1921-10-31,WWP210.1921-10-31,2,1000000.0,1.0,3.772,1000000000000.0
INBOUND.1921-11-30_A204.1921-11-30_0,INBOUND.1921-11-30,A204.1921-11-30,0,-1000000.0,1.0,0.0,0.0
INBOUND.1921-11-30_A204.1921-11-30_1,INBOUND.1921-11-30,A204.1921-11-30,1,0.0,1.0,0.0,0.0
INBOUND.1921-11-30_A204.1921-11-30_2,INBOUND.1921-11-30,A204.1921-11-30,2,1000000.0,1.0,0.0,1000000000000.0
INBOUND.1921-11-30_A207.1921-11-30_0,INBOUND.1921-11-30,A207.1921-11-30,0,-1000000.0,1.0,0.0,0.575
INBOUND.1921-11-30_A207.1921-11-30_1,INBOUND.1921-11-30,A207.1921-11-30,1,0.0,1.0,0.575,0.575
INBOUND.1921-11-30_A207.1921-11-30_2,INBOUND.1921-11-30,A207.1921-11-30,2,1000000.0,1.0,0.575,1000000000000.0
INBOUND.1921-11-30_C16.1921-11-30_0,INBOUND.1921-11-30,C16.1921-11-30,0,-1000000.0,1.0,0.0,0.0
INBOUND.1921-11-30_C16.1921-11-30_1,INBOUND.1921-11-30,C16.1921-11-30,1,0.0,1.0,0.0,0.0
INBOUND.1921-11-30_C16.1921-11-30_2,INBOUND.1921-11-30,C16.1921-11-30,2,1000000.0,1.0,0.0,1000000000000.0
INBOUND.1921-11-30_C18.1921-11-30_0,INBOUND.1921-11-30,C18.1921-11-30,0,-1000000.0,1.0,0.0,21.4
INBOUND.1921-11-30_C18.1921-11-30_1,INBOUND.1921-11-30,C18.1921-11-30,1,0.0,1.0,21.4,21.4
INBOUND.1921-11-30_C18.1921-11-30_2,INBOUND.1921-11-30,C18.1921-11-30,2,1000000.0,1.0,21.4,1000000000000.0
INBOUND.1921-11-30_C19.1921-11-30_0,INBOUND.1921-11-30,C19.1921-11-30,0,-1000000.0,1.0,0.0,7.39
INBOUND.1921-11-30_C19.1921-11-30_1,INBOUND.1921-11-30,C19.1921-11-30,1,0.0,1.0,7.39,7.39
INBOUND.1921-11-30_C19.1921-11-30_2,INBOUND.1921-11-30,C19.1921-11-30,2,1000000.0,1.0,7.39,1000000000000.0
INBOUND.1921-11-30_C67.1921-11-30_0,INBOUND.1921-11-30,C67.1921-11-30,0,-1000000.0,1.0,0.0,405.009
INBOUND.1921-11-30_C67.1921-11-30_1,INBOUND.1921-11-30,C67.1921-11-30,1,0.0,1.0,405.009,405.009
INBOUND.1921-11-30_C67.1921-11-30_2,INBOUND.1921-11-30,C67.1921-11-30,2,1000000.0,1.0,405.009,1000000000000.0
INBOUND.1921-11-30_D507.1921-11-30_0,INBOUND.1921-11-30,D507.1921-11-30,0,-1000000.0,1.0,0.0,267.767
INBOUND.1921-11-30_D507.1921-11-30_1,INBOUND.1921-11-30,D507.1921-11-30,1,0.0,1.0,267.767,267.767
INBOUND.1921-11-30_D507.1921-11-30_2,INBOUND.1921-11-30,D507.1921-11-30,2,1000000.0,1.0,267.767,1000000000000.0
INBOUND.1921-11-30_D509.1921-11-30_0,INBOUND.1921-11-30,D509.1921-11-30,0,-1000000.0,1.0,0.0,0.327
INBOUND.1921-11-30_D509.1921-11-30_1,INBOUND.1921-11-30,D509.1921-11-30,1,0.0,1.0,0.327,0.327
