link,i,j,k,cost,amplitude,lower_bound,upper_bound
A207.1922-02-28_HU207.1922-02-28_0,A207.1922-02-28,HU207.1922-02-28,0,0.0,1.0090000000000001,0.0,1e+18
A207.1922-03-31_HU207.1922-03-31_0,A207.1922-03-31,HU207.1922-03-31,0,0.0,1.0090000000000001,0.0,1.0000000000000019e+18
A207.1922-04-30_HU207.1922-04-30_0,A207.1922-04-30,HU207.1922-04-30,0,0.0,1.0090000000000001,0.0,1e+18
A207.1922-05-31_HU207.1922-05-31_0,A207.1922-05-31,HU207.1922-05-31,0,0.0,1.0090000000000001,0.0,1e+18
A207.1922-06-30_HU207.1922-06-30_0,A207.1922-06-30,HU207.1922-06-30,0,0.0,1.0090000000000001,0.0,1e+18
A207.1922-07-31_HU207.1922-07-31_0,A207.1922-07-31,HU207.1922-07-31,0,0.0,1.0090000000000001,0.0,1e+18
A207.1922-08-31_HU207.1922-08-31_0,A207.1922-08-31,HU207.1922-08-31,0,0.0,1.0090000000000001,0.0,1e+18
A207.1922-09-30_HU207.1922-09-30_0,A207.1922-09-30,HU207.1922-09-30,0,0.0,1.0090000000000001,0.0,1e+18
C104.1921-10-31_C105.1921-10-31_0,C104.1921-10-31,C105.1921-10-31,0,0.0,1.0,0.0,1e+18
C104.1921-11-30_C105.1921-11-30_0,C104.1921-11-30,C105.1921-11-30,0,0.0,1.0,0.0,1e+18
C104.1921-12-31_C105.1921-12-31_0,C104.1921-12-31,C105.1921-12-31,0,0.0,1.0,0.0,1e+18
C104.1922-01-31_C105.1922-01-31_0,C104.1922-01-31,C105.1922-01-31,0,0.0,1.0,0.0,1e+18
C104.1922-02-28_C105.1922-02-28_0,C104.1922-02-28,C105.1922-02-28,0,0.0,1.0,0.0,1e+18
C104.1922-03-31_C105.1922-03-31_0,C104.1922-03-31,C105.1922-03-31,0,0.0,1.0,0.0,1e+18
C104.1922-04-30_C105.1922-04-30_0,C104.1922-04-30,C105.1922-04-30,0,0.0,1.0,0.0,1e+18
C104.1922-05-31_C105.1922-05-31_0,C104.1922-05-31,C105.1922-05-31,0,0.0,1.0,0.0,1e+18
C104.1922-06-30_C105.1922-06-30_0,C104.1922-06-30,C105.1922-06-30,0,0.0,1.0,0.0,1e+18
C104.1922-07-31_C105.1922-07-31_0,C104.1922-07-31,C105.1922-07-31,0,0.0,1.0,0.0,1e+18
C104.1922-08-31_C105.1922-08-31_0,C104.1922-08-31,C105.1922-08-31,0,0.0,1.0,0.0,1e+18
C104.1922-09-30_C105.1922-09-30_0,C104.1922-09-30,C105.1922-09-30,0,0.0,1.0,0.0,1e+18
C104.1921-10-31_D44.1921-10-31_0,C104.1921-10-31,D44.1921-10-31,0,0.0,1.0,0.0,1e+18
C104.1921-11-30_D44.1921-11-30_0,C104.1921-11-30,D44.1921-11-30,0,0.0,1.0,0.0,1e+18
C104.1921-12-31_D44.1921-12-31_0,C104.1921-12-31,D44.1921-12-31,0,0.0,1.0,0.0,1e+18
C104.1922-01-31_D44.1922-01-31_0,C104.1922-01-31,D44.1922-01-31,0,0.0,1.0,0.0,1e+18
C104.1922-02-28_D44.1922-02-28_0,C104.1922-02-28,D44.1922-02-28,0,0.0,1.0,0.0,1e+18
C104.1922-03-31_D44.1922-03-31_0,C104.1922-03-31,D44.1922-03-31,0,0.0,1.0,0.0,1e+18
C104.1922-04-30_D44.1922-04-30_0,C104.1922-04-30,D44.1922-04-30,0,0.0,1.0,0.0,1e+18
C104.1922-05-31_D44.1922-05-31_0,C104.1922-05-31,D44.1922-05-31,0,0.0,1.0,0.0,1e+18
C104.1922-06-30_D44.1922-06-30_0,C104.1922-06-30,D44.1922-06-30,0,0.0,1.0,0.0,1e+18
C104.1922-07-31_D44.1922-07-31_0,C104.1922-07-31,D44.1922-07-31,0,0.0,1.0,0.0,1e+18
C104.1922-08-31_D44.1922-08-31_0,C104.1922-08-31,D44.1922-08-31,0,0.0,1.0,0.0,1e+18
C104.1922-09-30_D44.1922-09-30_0,C104.1922-09-30,D44.1922-09-30,0,0.0,1.0,0.0,1e+18
OUTBOUND.1921-10-31_SINK_0,OUTBOUND.1921-10-31,SINK,0,0.0,1.0,0.0,1e+18
C105.1921-10-31_OUTBOUND.1921-10-31_0,C105.1921-10-31,OUTBOUND.1921-10-31,0,0.0,1.0,0.0,0.0
OUTBOUND.1921-11-30_SINK_0,OUTBOUND.1921-11-30,SINK,0,0.0,1.0,0.0,1e+18
C105.1921-11-30_OUTBOUND.1921-11-30_0,C105.1921-11-30,OUTBOUND.1921-11-30,0,0.0,1.0,0.0,0.0
OUTBOUND.1921-12-31_SINK_0,OUTBOUND.1921-12-31,SINK,0,0.0,1.0,0.0,1e+18
C105.1921-12-31_OUTBOUND.1921-12-31_0,C105.1921-12-31,OUTBOUND.1921-12-31,0,0.0,1.0,0.0,0.0
OUTBOUND.1922-01-31_SINK_0,OUTBOUND.1922-01-31,SINK,0,0.0,1.0,0.0,1e+18
C105.1922-01-31_OUTBOUND.1922-01-31_0,C105.1922-01-31,OUTBOUND.1922-01-31,0,0.0,1.0,0.0,0.0
OUTBOUND.1922-02-28_SINK_0,OUTBOUND.1922-02-28,SINK,0,0.0,1.0,0.0,1e+18
C105.1922-02-28_OUTBOUND.1922-02-28_0,C105.1922-02-28,OUTBOUND.1922-02-28,0,0.0,1.0,0.0,0.0
OUTBOUND.1922-03-31_SINK_0,OUTBOUND.1922-03-31,SINK,0,0.0,1.0,0.0,1e+18
C105.1922-03-31_OUTBOUND.1922-03-31_0,C105.1922-03-31,OUTBOUND.1922-03-31,0,0.0,1.0,0.0,0.0
OUTBOUND.1922-04-30_SINK_0,OUTBOUND.1922-04-30,SINK,0,0.0,1.0,0.0,1e+18
C105.1922-04-30_OUTBOUND.1922-04-30_0,C105.1922-04-30,OUTBOUND.1922-04-30,0,0.0,1.0,0.0,0.0
OUTBOUND.1922-05-31_SINK_0,OUTBOUND.1922-05-31,SINK,0,0.0,1.0,0.0,1e+18
C105.1922-05-31_OUTBOUND.1922-05-31_0,C105.1922-05-31,OUTBOUND.1922-05-31,0,0.0,1.0,0.0,0.0
OUTBOUND.1922-06-30_SINK_0,OUTBOUND.1922-06-30,SINK,0,0.0,1.0,0.0,1e+18
C105.1922-06-30_OUTBOUND.1922-06-30_0,C105.1922-06-30,OUTBOUND.1922-06-30,0,0.0,1.0,0.0,0.0
OUTBOUND.1922-07-31_SINK_0,OUTBOUND.1922-07-31,SINK,0,0.0,1.0,0.0,1e+18
C105.1922-07-31_OUTBOUND.1922-07-31_0,C105.1922-07-31,OUTBOUND.1922-07-31,0,0.0,1.0,0.0,0.0
OUTBOUND.1922-08-31_SINK_0,OUTBOUND.1922-08-31,SINK,0,0.0,1.0,0.0,1e+18
C105.1922-08-31_OUTBOUND.1922-08-31_0,C105.1922-08-31,OUTBOUND.1922-08-31,0,0.0,1.0,0.0,0.0
OUTBOUND.1922-09-30_SINK_0,OUTBOUND.1922-09-30,SINK,0,0.0,1.0,0.0,1e+18
C105.1922-09-30_OUTBOUND.1922-09-30_0,C105.1922-09-30,OUTBOUND.1922-09-30,0,0.0,1.0,0.0,0.0
C105.1921-10-31_WTP204.1921-10-31_0,C105.1921-10-31,WTP204.1921-10-31,0,45.0,1.0,0.0,2.5
C105.1921-11-30_WTP204.1921-11-30_0,C105.1921-11-30,WTP204.1921-11-30,0,45.0,1.0,0.0,2.4
C105.1921-12-31_WTP204.1921-12-31_0,C105.1921-12-31,WTP204.1921-12-31,0,45.0,1.0,0.0,2.5
C105.1922-01-31_WTP204.1922-01-31_0,C105.1922-01-31,WTP204.1922-01-31,0,45.0,1.0,0.0,2.5
C105.1922-02-28_WTP204.1922-02-28_0,C105.1922-02-28,WTP204.1922-02-28,0,45.0,1.0,0.0,2.2
C105.1922-03-31_WTP204.1922-03-31_0,C105.1922-03-31,WTP204.1922-03-31,0,45.0,1.0,0.0,2.5
C105.1922-04-30_WTP204.1922-04-30_0,C105.1922-04-30,WTP204.1922-04-30,0,45.0,1.0,0.0,2.4
C105.1922-05-31_WTP204.1922-05-31_0,C105.1922-05-31,WTP204.1922-05-31,0,45.0,1.0,0.0,2.5
C105.1922-06-30_WTP204.1922-06-30_0,C105.1922-06-30,WTP204.1922-06-30,0,45.0,1.0,0.0,2.4
C105.1922-07-31_WTP204.1922-07-31_0,C105.1922-07-31,WTP204.1922-07-31,0,45.0,1.0,0.0,2.5
C105.1922-08-31_WTP204.1922-08-31_0,C105.1922-08-31,WTP204.1922-08-31,0,45.0,1.0,0.0,2.5
C105.1922-09-30_WTP204.1922-09-30_0,C105.1922-09-30,WTP204.1922-09-30,0,45.0,1.0,0.0,2.4
C16.1921-10-31_OUTBOUND.1921-10-31_0,C16.1921-10-31,OUTBOUND.1921-10-31,0,0.0,1.0,0.0,0.0
C16.1921-11-30_OUTBOUND.1921-11-30_0,C16.1921-11-30,OUTBOUND.1921-11-30,0,0.0,1.0,0.0,0.0
C16.1921-12-31_OUTBOUND.1921-12-31_0,C16.1921-12-31,OUTBOUND.1921-12-31,0,0.0,1.0,0.0,0.0
C16.1922-01-31_OUTBOUND.1922-01-31_0,C16.1922-01-31,OUTBOUND.1922-01-31,0,0.0,1.0,0.0,0.0
C16.1922-02-28_OUTBOUND.1922-02-28_0,C16.1922-02-28,OUTBOUND.1922-02-28,0,0.0,1.0,0.0,127.44
C16.1922-03-31_OUTBOUND.1922-03-31_0,C16.1922-03-31,OUTBOUND.1922-03-31,0,0.0,1.0,0.0,0.0
C16.1922-04-30_OUTBOUND.1922-04-30_0,C16.1922-04-30,OUTBOUND.1922-04-30,0,0.0,1.0,0.0,0.0
C16.1922-05-31_OUTBOUND.1922-05-31_0,C16.1922-05-31,OUTBOUND.1922-05-31,0,0.0,1.0,25.695,56.528999999999996
C16.1922-06-30_OUTBOUND.1922-06-30_0,C16.1922-06-30,OUTBOUND.1922-06-30,0,0.0,1.0,38.5,84.69999999999999
C16.1922-07-31_OUTBOUND.1922-07-31_0,C16.1922-07-31,OUTBOUND.1922-07-31,0,0.0,1.0,38.5,84.69999999999999
C16.1922-08-31_OUTBOUND.1922-08-31_0,C16.1922-08-31,OUTBOUND.1922-08-31,0,0.0,1.0,33.142,72.9124
C16.1922-09-30_OUTBOUND.1922-09-30_0,C16.1922-09-30,OUTBOUND.1922-09-30,0,0.0,1.0,0.0,0.0
C16.1921-10-31_C20.1921-10-31_0,C16.1921-10-31,C20.1921-10-31,0,0.0,1.0,0.0,1e+18
C16.1921-11-30_C20.1921-11-30_0,C16.1921-11-30,C20.1921-11-30,0,0.0,1.0,0.0,1e+18
C16.1921-12-31_C20.1921-12-31_0,C16.1921-12-31,C20.1921-12-31,0,0.0,1.0,0.0,1e+18
C16.1922-01-31_C20.1922-01-31_0,C16.1922-01-31,C20.1922-01-31,0,0.0,1.0,0.0,1e+18
C16.1922-02-28_C20.1922-02-28_0,C16.1922-02-28,C20.1922-02-28,0,0.0,1.0,0.0,1.0000000000000001e+18
C16.1922-03-31_C20.1922-03-31_0,C16.1922-03-31,C20.1922-03-31,0,0.0,1.0,0.0,1e+18
C16.1922-04-30_C20.1922-04-30_0,C16.1922-04-30,C20.1922-04-30,0,0.0,1.0,0.0,1e+18
C16.1922-05-31_C20.1922-05-31_0,C16.1922-05-31,C20.1922-05-31,0,0.0,1.0,0.0,1e+18
C16.1922-06-30_C20.1922-06-30_0,C16.1922-06-30,C20.1922-06-30,0,0.0,1.0,0.0,1e+18
C16.1922-07-31_C20.1922-07-31_0,C16.1922-07-31,C20.1922-07-31,0,0.0,1.0,0.0,1e+18
C16.1922-08-31_C20.1922-08-31_0,C16.1922-08-31,C20.1922-08-31,0,0.0,1.0,0.0,1e+18
C16.1922-09-30_C20.1922-09-30_0,C16.1922-09-30,C20.1922-09-30,0,0.0,1.0,0.0,1e+18
C173.1921-10-31_OUTBOUND.1921-10-31_0,C173.1921-10-31,OUTBOUND.1921-10-31,0,0.0,1.0,0.0,0.0
C173.1921-11-30_OUTBOUND.1921-11-30_0,C173.1921-11-30,OUTBOUND.1921-11-30,0,0.0,1.0,0.0,0.0
C173.1921-12-31_OUTBOUND.1921-12-31_0,C173.1921-12-31,OUTBOUND.1921-12-31,0,0.0,1.0,0.0,0.0
C173.1922-01-31_OUTBOUND.1922-01-31_0,C173.1922-01-31,OUTBOUND.1922-01-31,0,0.0,1.0,0.0,0.0
C173.1922-02-28_OUTBOUND.1922-02-28_0,C173.1922-02-28,OUTBOUND.1922-02-28,0,0.0,1.0,0.0,0.0
C173.1922-03-31_OUTBOUND.1922-03-31_0,C173.1922-03-31,OUTBOUND.1922-03-31,0,0.0,1.0,0.0,0.0
C173.1922-04-30_OUTBOUND.1922-04-30_0,C173.1922-04-30,OUTBOUND.1922-04-30,0,0.0,1.0,0.0,0.0
C173.1922-05-31_OUTBOUND.1922-05-31_0,C173.1922-05-31,OUTBOUND.1922-05-31,0,0.0,1.0,0.0,0.0
C173.1922-06-30_OUTBOUND.1922-06-30_0,C173.1922-06-30,OUTBOUND.1922-06-30,0,0.0,1.0,0.0,0.0
C173.1922-07-31_OUTBOUND.1922-07-31_0,C173.1922-07-31,OUTBOUND.1922-07-31,0,0.0,1.0,0.0,0.0
C173.1922-08-31_OUTBOUND.1922-08-31_0,C173.1922-08-31,OUTBOUND.1922-08-31,0,0.0,1.0,0.0,0.0
C173.1922-09-30_OUTBOUND.1922-09-30_0,C173.1922-09-30,OUTBOUND.1922-09-30,0,0.0,1.0,0.0,0.0
C173.1921-10-31_HSU207C173.1921-10-31_0,C173.1921-10-31,HSU207C173.1921-10-31,0,0.0,1.0,0.0,6.7
C173.1921-11-30_HSU207C173.1921-11-30_0,C173.1921-11-30,HSU207C173.1921-11-30,0,0.0,1.0,0.0,6.7
C173.1921-12-31_HSU207C173.1921-12-31_0,C173.1921-12-31,HSU207C173.1921-12-31,0,0.0,1.0,0.0,6.7
C173.1922-01-31_HSU207C173.1922-01-31_0,C173.1922-01-31,HSU207C173.1922-01-31,0,0.0,1.0,0.0,6.7
C173.1922-02-28_HSU207C173.1922-02-28_0,C173.1922-02-28,HSU207C173.1922-02-28,0,0.0,1.0,0.0,6.7
C173.1922-03-31_HSU207C173.1922-03-31_0,C173.1922-03-31,HSU207C173.1922-03-31,0,0.0,1.0,0.0,6.7
C173.1922-04-30_HSU207C173.1922-04-30_0,C173.1922-04-30,HSU207C173.1922-04-30,0,0.0,1.0,0.0,6.7
C173.1922-05-31_HSU207C173.1922-05-31_0,C173.1922-05-31,HSU207C173.1922-05-31,0,0.0,1.0,0.0,6.7
C173.1922-06-30_HSU207C173.1922-06-30_0,C173.1922-06-30,HSU207C173.1922-06-30,0,0.0,1.0,0.0,6.7
C173.1922-07-31_HSU207C173.1922-07-31_0,C173.1922-07-31,HSU207C173.1922-07-31,0,0.0,1.0,0.0,6.7
C173.1922-08-31_HSU207C173.1922-08-31_0,C173.1922-08-31,HSU207C173.1922-08-31,0,0.0,1.0,0.0,6.7
C173.1922-09-30_HSU207C173.1922-09-30_0,C173.1922-09-30,HSU207C173.1922-09-30,0,0.0,1.0,0.0,6.7
C173.1921-10-31_WTP207.1921-10-31_0,C173.1921-10-31,WTP207.1921-10-31,0,45.0,1.0,0.0,0.0
C173.1921-11-30_WTP207.1921-11-30_0,C173.1921-11-30,WTP207.1921-11-30,0,45.0,1.0,0.0,0.0
C173.1921-12-31_WTP207.1921-12-31_0,C173.1921-12-31,WTP207.1921-12-31,0,45.0,1.0,0.0,0.0
C173.1922-01-31_WTP207.1922-01-31_0,C173.1922-01-31,WTP207.1922-01-31,0,45.0,1.0,0.0,0.0
C173.1922-02-28_WTP207.1922-02-28_0,C173.1922-02-28,WTP207.1922-02-28,0,45.0,1.0,0.0,0.0
C173.1922-03-31_WTP207.1922-03-31_0,C173.1922-03-31,WTP207.1922-03-31,0,45.0,1.0,0.0,0.0
C173.1922-04-30_WTP207.1922-04-30_0,C173.1922-04-30,WTP207.1922-04-30,0,45.0,1.0,0.0,0.0
C173.1922-05-31_WTP207.1922-05-31_0,C173.1922-05-31,WTP207.1922-05-31,0,45.0,1.0,0.0,0.0
C173.1922-06-30_WTP207.1922-06-30_0,C173.1922-06-30,WTP207.1922-06-30,0,45.0,1.0,0.0,0.0
C173.1922-07-31_WTP207.1922-07-31_0,C173.1922-07-31,WTP207.1922-07-31,0,45.0,1.0,0.0,0.0
C173.1922-08-31_WTP207.1922-08-31_0,C173.1922-08-31,WTP207.1922-08-31,0,45.0,1.0,0.0,0.0
C173.1922-09-30_WTP207.1922-09-30_0,C173.1922-09-30,WTP207.1922-09-30,0,45.0,1.0,0.0,0.0
C18.1921-10-31_C20.1921-10-31_0,C18.1921-10-31,C20.1921-10-31,0,0.0,1.0,0.0,1e+18
C18.1921-11-30_C20.1921-11-30_0,C18.1921-11-30,C20.1921-11-30,0,0.0,1.0,0.0,1e+18
C18.1921-12-31_C20.1921-12-31_0,C18.1921-12-31,C20.1921-12-31,0,0.0,1.0,0.0,1e+18
C18.1922-01-31_C20.1922-01-31_0,C18.1922-01-31,C20.1922-01-31,0,0.0,1.0,0.0,1.0000000000000019e+18
C18.1922-02-28_C20.1922-02-28_0,C18.1922-02-28,C20.1922-02-28,0,0.0,1.0,0.0,1e+18
C18.1922-03-31_C20.1922-03-31_0,C18.1922-03-31,C20.1922-03-31,0,0.0,1.0,0.0,1e+18
C18.1922-04-30_C20.1922-04-30_0,C18.1922-04-30,C20.1922-04-30,0,0.0,1.0,0.0,1e+18
C18.1922-05-31_C20.1922-05-31_0,C18.1922-05-31,C20.1922-05-31,0,0.0,1.0,0.0,1e+18
C18.1922-06-30_C20.1922-06-30_0,C18.1922-06-30,C20.1922-06-30,0,0.0,1.0,0.0,1e+18
C18.1922-07-31_C20.1922-07-31_0,C18.1922-07-31,C20.1922-07-31,0,0.0,1.0,0.0,1e+18
C18.1922-08-31_C20.1922-08-31_0,C18.1922-08-31,C20.1922-08-31,0,0.0,1.0,0.0,1e+18
C18.1922-09-30_C20.1922-09-30_0,C18.1922-09-30,C20.1922-09-30,0,0.0,1.0,0.0,1e+18
C19.1921-10-31_OUTBOUND.1921-10-31_0,C19.1921-10-31,OUTBOUND.1921-10-31,0,0.0,1.0,7.39,12.5596
C19.1921-11-30_OUTBOUND.1921-11-30_0,C19.1921-11-30,OUTBOUND.1921-11-30,0,0.0,1.0,7.39,16.258
C19.1921-12-31_OUTBOUND.1921-12-31_0,C19.1921-12-31,OUTBOUND.1921-12-31,0,0.0,1.0,7.39,7.39
C19.1922-01-31_OUTBOUND.1922-01-31_0,C19.1922-01-31,OUTBOUND.1922-01-31,0,0.0,1.0,7.39,7.39
C19.1922-02-28_OUTBOUND.1922-02-28_0,C19.1922-02-28,OUTBOUND.1922-02-28,0,0.0,1.0,7.39,7.39
C19.1922-03-31_OUTBOUND.1922-03-31_0,C19.1922-03-31,OUTBOUND.1922-03-31,0,0.0,1.0,7.39,7.39
C19.1922-04-30_OUTBOUND.1922-04-30_0,C19.1922-04-30,OUTBOUND.1922-04-30,0,0.0,1.0,7.39,9.9652
C19.1922-05-31_OUTBOUND.1922-05-31_0,C19.1922-05-31,OUTBOUND.1922-05-31,0,0.0,1.0,7.39,11.41
C19.1922-06-30_OUTBOUND.1922-06-30_0,C19.1922-06-30,OUTBOUND.1922-06-30,0,0.0,1.0,26.338,53.2096
C19.1922-07-31_OUTBOUND.1922-07-31_0,C19.1922-07-31,OUTBOUND.1922-07-31,0,0.0,1.0,49.598,105.6284
C19.1922-08-31_OUTBOUND.1922-08-31_0,C19.1922-08-31,OUTBOUND.1922-08-31,0,0.0,1.0,7.39,12.261999999999999
C19.1922-09-30_OUTBOUND.1922-09-30_0,C19.1922-09-30,OUTBOUND.1922-09-30,0,0.0,1.0,7.39,12.157599999999999
C19.1921-10-31_C20.1921-10-31_0,C19.1921-10-31,C20.1921-10-31,0,0.0,1.0,0.0,1e+18
C19.1921-11-30_C20.1921-11-30_0,C19.1921-11-30,C20.1921-11-30,0,0.0,1.0,0.0,1e+18
C19.1921-12-31_C20.1921-12-31_0,C19.1921-12-31,C20.1921-12-31,0,0.0,1.0,0.0,1e+18
C19.1922-01-31_C20.1922-01-31_0,C19.1922-01-31,C20.1922-01-31,0,0.0,1.0,0.0,1e+18
C19.1922-02-28_C20.1922-02-28_0,C19.1922-02-28,C20.1922-02-28,0,0.0,1.0,0.0,1e+18
C19.1922-03-31_C20.1922-03-31_0,C19.1922-03-31,C20.1922-03-31,0,0.0,1.0,0.0,1e+18
C19.1922-04-30_C20.1922-04-30_0,C19.1922-04-30,C20.1922-04-30,0,0.0,1.0,0.0,1e+18
C19.1922-05-31_C20.1922-05-31_0,C19.1922-05-31,C20.1922-05-31,0,0.0,1.0,0.0,1e+18
C19.1922-06-30_C20.1922-06-30_0,C19.1922-06-30,C20.1922-06-30,0,0.0,1.0,0.0,1e+18
C19.1922-07-31_C20.1922-07-31_0,C19.1922-07-31,C20.1922-07-31,0,0.0,1.0,0.0,1e+18
C19.1922-08-31_C20.1922-08-31_0,C19.1922-08-31,C20.1922-08-31,0,0.0,1.0,0.0,1e+18
C19.1922-09-30_C20.1922-09-30_0,C19.1922-09-30,C20.1922-09-30,0,0.0,1.0,0.0,1e+18
C20.1921-10-31_OUTBOUND.1921-10-31_0,C20.1921-10-31,OUTBOUND.1921-10-31,0,0.0,1.0,3.082,3.082
C20.1921-11-30_OUTBOUND.1921-11-30_0,C20.1921-11-30,OUTBOUND.1921-11-30,0,0.0,1.0,0.0,0.0
C20.1921-12-31_OUTBOUND.1921-12-31_0,C20.1921-12-31,OUTBOUND.1921-12-31,0,0.0,1.0,21.4,21.4
C20.1922-01-31_OUTBOUND.1922-01-31_0,C20.1922-01-31,OUTBOUND.1922-01-31,0,0.0,1.0,19.9,19.9
C20.1922-02-28_OUTBOUND.1922-02-28_0,C20.1922-02-28,OUTBOUND.1922-02-28,0,0.0,1.0,129.35399999999998,129.35399999999998
C20.1922-03-31_OUTBOUND.1922-03-31_0,C20.1922-03-31,OUTBOUND.1922-03-31,0,0.0,1.0,28.295,28.295
C20.1922-04-30_OUTBOUND.1922-04-30_0,C20.1922-04-30,OUTBOUND.1922-04-30,0,0.0,1.0,5.244,5.244
C20.1922-05-31_OUTBOUND.1922-05-31_0,C20.1922-05-31,OUTBOUND.1922-05-31,0,0.0,1.0,4.04,4.04
C20.1922-06-30_OUTBOUND.1922-06-30_0,C20.1922-06-30,OUTBOUND.1922-06-30,0,0.0,1.0,3.945,3.945
C20.1922-07-31_OUTBOUND.1922-07-31_0,C20.1922-07-31,OUTBOUND.1922-07-31,0,0.0,1.0,2.906,2.906
C20.1922-08-31_OUTBOUND.1922-08-31_0,C20.1922-08-31,OUTBOUND.1922-08-31,0,0.0,1.0,3.33,3.33
C20.1922-09-30_OUTBOUND.1922-09-30_0,C20.1922-09-30,OUTBOUND.1922-09-30,0,0.0,1.0,3.417,3.417
SINK.1921-10-31_SINK_0,SINK.1921-10-31,SINK,0,0.0,1.0,0.0,1e+18
C20.1921-10-31_SINK.1921-10-31_0,C20.1921-10-31,SINK.1921-10-31,0,0.0,1.0,0.0,0.0
SINK.1921-11-30_SINK_0,SINK.1921-11-30,SINK,0,0.0,1.0,0.0,1e+18
C20.1921-11-30_SINK.1921-11-30_0,C20.1921-11-30,SINK.1921-11-30,0,0.0,1.0,0.0,0.0
SINK.1921-12-31_SINK_0,SINK.1921-12-31,SINK,0,0.0,1.0,0.0,1e+18
C20.1921-12-31_SINK.1921-12-31_0,C20.1921-12-31,SINK.1921-12-31,0,0.0,1.0,0.0,0.0
SINK.1922-01-31_SINK_0,SINK.1922-01-31,SINK,0,0.0,1.0,0.0,1e+18
C20.1922-01-31_SINK.1922-01-31_0,C20.1922-01-31,SINK.1922-01-31,0,0.0,1.0,0.0,0.0
SINK.1922-02-28_SINK_0,SINK.1922-02-28,SINK,0,0.0,1.0,0.0,1e+18
C20.1922-02-28_SINK.1922-02-28_0,C20.1922-02-28,SINK.1922-02-28,0,0.0,1.0,0.0,0.0
SINK.1922-03-31_SINK_0,SINK.1922-03-31,SINK,0,0.0,1.0,0.0,1e+18
C20.1922-03-31_SINK.1922-03-31_0,C20.1922-03-31,SINK.1922-03-31,0,0.0,1.0,0.0,0.0
SINK.1922-04-30_SINK_0,SINK.1922-04-30,SINK,0,0.0,1.0,0.0,1e+18
C20.1922-04-30_SINK.1922-04-30_0,C20.1922-04-30,SINK.1922-04-30,0,0.0,1.0,0.0,0.0
SINK.1922-05-31_SINK_0,SINK.1922-05-31,SINK,0,0.0,1.0,0.0,1e+18
C20.1922-05-31_SINK.1922-05-31_0,C20.1922-05-31,SINK.1922-05-31,0,0.0,1.0,0.0,0.0
SINK.1922-06-30_SINK_0,SINK.1922-06-30,SINK,0,0.0,1.0,0.0,1e+18
C20.1922-06-30_SINK.1922-06-30_0,C20.1922-06-30,SINK.1922-06-30,0,0.0,1.0,0.0,0.0
SINK.1922-07-31_SINK_0,SINK.1922-07-31,SINK,0,0.0,1.0,0.0,1e+18
C20.1922-07-31_SINK.1922-07-31_0,C20.1922-07-31,SINK.1922-07-31,0,0.0,1.0,0.0,0.0
SINK.1922-08-31_SINK_0,SINK.1922-08-31,SINK,0,0.0,1.0,0.0,1e+18
C20.1922-08-31_SINK.1922-08-31_0,C20.1922-08-31,SINK.1922-08-31,0,0.0,1.0,0.0,0.0
SINK.1922-09-30_SINK_0,SINK.1922-09-30,SINK,0,0.0,1.0,0.0,1e+18
C20.1922-09-30_SINK.1922-09-30_0,C20.1922-09-30,SINK.1922-09-30,0,0.0,1.0,0.0,0.0
C67.1921-10-31_OUTBOUND.1921-10-31_0,C67.1921-10-31,OUTBOUND.1921-10-31,0,0.0,1.0,21.105,474.57366
C67.1921-10-31_OUTBOUND.1921-10-31_1,C67.1921-10-31,OUTBOUND.1921-10-31,1,0.0,1.0,0.0,453.46866
C67.1921-11-30_OUTBOUND.1921-11-30_0,C67.1921-11-30,OUTBOUND.1921-11-30,0,0.0,1.0,0.0,412.69459199999994
C67.1921-11-30_OUTBOUND.1921-11-30_1,C67.1921-11-30,OUTBOUND.1921-11-30,1,0.0,1.0,0.0,412.69459199999994
C67.1921-12-31_OUTBOUND.1921-12-31_0,C67.1921-12-31,OUTBOUND.1921-12-31,0,0.0,1.0,0.0,718.4189419101552
C67.1921-12-31_OUTBOUND.1921-12-31_1,C67.1921-12-31,OUTBOUND.1921-12-31,1,0.0,1.0,0.0,718.4189419101552
C67.1922-01-31_OUTBOUND.1922-01-31_0,C67.1922-01-31,OUTBOUND.1922-01-31,0,0.0,1.0,0.0,960.9757799999999
C67.1922-01-31_OUTBOUND.1922-01-31_1,C67.1922-01-31,OUTBOUND.1922-01-31,1,0.0,1.0,0.0,960.9757799999999
C67.1922-02-28_OUTBOUND.1922-02-28_0,C67.1922-02-28,OUTBOUND.1922-02-28,0,0.0,1.0,0.397,1721.1399279999998
C67.1922-02-28_OUTBOUND.1922-02-28_1,C67.1922-02-28,OUTBOUND.1922-02-28,1,0.0,1.0,0.0,1720.742928
C67.1922-03-31_OUTBOUND.1922-03-31_0,C67.1922-03-31,OUTBOUND.1922-03-31,0,0.0,1.0,8.812000000000003,1662.469504
C67.1922-03-31_OUTBOUND.1922-03-31_1,C67.1922-03-31,OUTBOUND.1922-03-31,1,0.0,1.0,0.0,1653.657504
C67.1922-04-30_OUTBOUND.1922-04-30_0,C67.1922-04-30,OUTBOUND.1922-04-30,0,0.0,1.0,32.319,1050.6794519999999
C67.1922-04-30_OUTBOUND.1922-04-30_1,C67.1922-04-30,OUTBOUND.1922-04-30,1,0.0,1.0,0.0,1018.3604519999999
